,Date,City,Country,Latitude,Longitude,Cloudiness,Max Temp,Humidity,Wind Speed
371,Sun Dec  3 22:00:36 2017,Ushuaia,AR,-54.8,-68.3,76,8.46,85,5.9
372,Sun Dec  3 22:00:36 2017,Ushuaia,AR,-54.8,-68.3,76,8.46,85,5.9
373,Sun Dec  3 22:04:37 2017,Azanka,RU,58.04,64.79,92,-3.47,90,2.95
374,Sun Dec  3 22:00:36 2017,Ushuaia,AR,-54.8,-68.3,76,8.46,85,5.9
375,Sun Dec  3 21:27:00 2017,Havre-Saint-Pierre,CA,50.23,-63.6,75,-6.0,85,3.6
376,Sun Dec  3 22:04:39 2017,Ponto Novo,BR,-10.86,-40.13,0,22.25,68,3.17
377,Sun Dec  3 22:03:08 2017,Dingle,PH,11.0,122.67,20,30.48,64,5.5
378,Sun Dec  3 22:02:49 2017,Castro,BR,-24.79,-50.01,76,15.5,96,1.27
379,Sun Dec  3 22:02:24 2017,Port Alfred,ZA,-33.59,26.89,24,19.61,93,1.62
380,Sun Dec  3 21:00:00 2017,Mar del Plata,AR,-38.0,-57.56,75,12.0,87,5.7
381,Sun Dec  3 21:50:00 2017,Mittweida,DE,50.98,12.98,90,2.0,93,5.1
382,Sun Dec  3 22:04:41 2017,Marawi,PH,8.0,124.29,68,24.38,97,1.35
383,Sun Dec  3 21:56:00 2017,Jamestown,US,42.1,-79.24,1,-2.53,92,1.5
384,Sun Dec  3 22:02:24 2017,Port Alfred,ZA,-33.59,26.89,24,19.61,93,1.62
385,Sun Dec  3 22:04:42 2017,Carauari,BR,-4.88,-66.9,32,25.61,84,1.37
386,Sun Dec  3 22:04:42 2017,Lagoa,PT,39.05,-27.98,92,19.38,96,7.65
387,Sun Dec  3 22:04:43 2017,Benghazi,LY,32.12,20.07,8,19.28,100,5.35
388,Sun Dec  3 22:03:08 2017,Dingle,PH,11.0,122.67,20,30.48,64,5.5
389,Sun Dec  3 21:00:00 2017,Valdivia,CL,-39.81,-73.25,0,12.0,93,1.0
390,Sun Dec  3 22:04:44 2017,Puerto Leguizamo,CO,-0.19,-74.78,12,24.38,93,0.67
391,Sun Dec  3 22:02:20 2017,Busselton,AU,-33.65,115.33,80,21.61,92,3.77
392,Sun Dec  3 22:02:24 2017,Port Alfred,ZA,-33.59,26.89,24,19.61,93,1.62
393,Sun Dec  3 20:50:00 2017,Longyearbyen,SJ,78.22,15.64,75,-1.0,63,5.7
394,Sun Dec  3 21:50:00 2017,Gravdal,NO,68.12,13.5,75,1.0,86,3.6
395,Sun Dec  3 21:00:00 2017,Mar del Plata,AR,-38.0,-57.56,75,12.0,87,5.7
396,Sun Dec  3 22:02:20 2017,Busselton,AU,-33.65,115.33,80,21.61,92,3.77
397,Sun Dec  3 22:04:00 2017,Talnakh,RU,69.49,88.4,44,-19.02,70,1.17
398,Sun Dec  3 21:00:00 2017,Bredasdorp,ZA,-34.53,20.04,8,18.0,68,0.5
399,Sun Dec  3 20:50:00 2017,Vardo,NO,70.37,31.11,40,-1.0,86,7.7
400,Sun Dec  3 22:00:00 2017,Valparaiso,CL,-33.04,-71.63,0,10.0,93,1.37
401,Sun Dec  3 22:02:20 2017,Busselton,AU,-33.65,115.33,80,21.61,92,3.77
402,Sun Dec  3 21:20:00 2017,Santa Cruz,PH,14.28,121.42,75,30.0,74,2.1
403,Sun Dec  3 21:30:00 2017,Grindavik,IS,63.84,-22.43,75,3.0,100,2.6
